open,high,low,close,volume
2014-07-15,2065.9,2070.36,2059.68,2070.36,124488768.0
2014-07-16,2068.34,2075.49,2061.57,2067.28,137128020.0
2014-07-17,2062.89,2062.89,2046.19,2055.59,104491812.0
2014-07-18,2047.5,2067.23,2046.0,2059.07,106641094.0
2014-07-21,2057.77,2061.82,2049.18,2054.48,93857870.0
2014-07-22,2050.5,2078.08,2049.81,2075.48,123191868.0
2014-07-23,2074.2,2088.19,2072.23,2078.49,137292211.0
2014-07-24,2079.63,2107.95,2079.63,2105.06,165676996.0
2014-07-25,2108.71,2127.22,2106.71,2126.61,142495826.0
2014-07-28,2135.25,2181.5,2135.25,2177.95,236185752.0
2014-07-29,2179.83,2193.52,2172.1,2183.19,200264257.0
2014-07-30,2178.18,2194.57,2177.24,2181.24,184922187.0
2014-07-31,2179.54,2202.13,2173.9,2201.56,164691654.0
2014-08-01,2194.17,2218.79,2184.64,2185.3,191475042.0
2014-08-04,2190.04,2224.07,2186.92,2223.33,174097403.0
2014-08-05,2224.63,2226.84,2206.85,2219.95,175386987.0
2014-08-06,2212.0,2223.89,2192.99,2217.47,177711707.0
2014-08-07,2216.66,2220.57,2185.76,2187.67,175233274.0
2014-08-08,2188.71,2199.58,2180.6,2194.43,135181443.0
2014-08-11,2199.43,2225.96,2198.31,2224.65,150583421.0
2014-08-12,2222.7,2222.98,2210.0,2221.59,154799046.0
2014-08-13,2223.05,2230.99,2202.44,2222.88,178062806.0
2014-08-14,2221.54,2230.89,2204.38,2206.47,170149123.0
2014-08-15,2207.23,2230.87,2203.24,2226.73,149978691.0
2014-08-18,2229.8,2242.03,2228.13,2239.47,163928626.0
2014-08-19,2242.34,2246.02,2227.93,2245.33,177744592.0
2014-08-20,2241.66,2248.94,2233.89,2240.21,167658383.0
2014-08-21,2239.57,2240.08,2211.63,2230.46,165733498.0
2014-08-22,2228.97,2243.3,2225.27,2240.81,160111672.0
2014-08-25,2241.1,2241.55,2222.01,2229.27,162119578.0
2014-08-26,2225.29,2232.78,2200.62,2207.11,163507424.0
2014-08-27,2207.03,2216.67,2204.05,2209.47,120885885.0
2014-08-28,2210.48,2219.47,2194.86,2195.82,124229014.0
2014-08-29,2198.95,2218.7,2193.26,2217.2,105202496.0
2014-09-01,2220.13,2236.29,2217.69,2235.51,129166583.0
2014-09-02,2239.68,2267.51,2234.38,2266.05,192124869.0
2014-09-03,2268.4,2290.55,2268.1,2288.63,212478998.0
2014-09-04,2290.03,2307.7,2283.28,2306.86,199489978.0
2014-09-05,2311.3,2327.56,2307.45,2326.43,213181917.0
2014-09-09,2328.43,2331.92,2315.89,2326.53,196990318.0
2014-09-10,2318.5,2321.91,2306.42,2318.3,189828991.0
2014-09-11,2315.73,2343.59,2304.6,2311.68,222221798.0
2014-09-12,2308.35,2331.95,2302.77,2331.95,193471540.0
2014-09-15,2330.19,2340.45,2321.59,2339.14,215112414.0
2014-09-16,2341.03,2347.94,2293.87,2296.55,302694111.0
2014-09-17,2298.98,2309.05,2282.79,2307.89,210842453.0
2014-09-18,2303.85,2319.88,2297.93,2315.93,189089045.0
2014-09-19,2312.98,2331.56,2305.52,2329.45,174648487.0
2014-09-22,2323.55,2323.55,2284.38,2289.87,175842354.0
2014-09-23,2289.09,2311.52,2289.02,2309.72,156855169.0
2014-09-24,2302.23,2345.75,2297.88,2343.57,222525725.0
2014-09-25,2352.86,2365.15,2336.8,2345.1,225688323.0
2014-09-26,2339.29,2350.11,2329.96,2347.72,174748285.0
2014-09-29,2353.71,2363.06,2346.58,2357.71,200111021.0
2014-09-30,2361.32,2365.49,2354.27,2363.87,193918690.0
2014-10-08,2368.58,2382.79,2354.29,2382.79,204397326.0
2014-10-09,2383.86,2391.35,2367.11,2389.37,235920010.0
2014-10-10,2380.75,2386.28,2365.07,2374.54,224671126.0
2014-10-13,2366.43,2366.86,2341.12,2366.01,200899314.0
2014-10-14,2362.8,2380.51,2349.19,2359.48,196831418.0
2014-10-15,2358.23,2374.81,2344.37,2373.67,202804915.0
2014-10-16,2361.13,2389.68,2353.41,2356.5,248201168.0
2014-10-17,2352.78,2360.6,2312.83,2341.18,212300962.0
2014-10-20,2346.05,2357.51,2340.46,2356.73,160022305.0
2014-10-21,2355.03,2361.65,2337.55,2339.66,168828288.0
2014-10-22,2339.22,2352.12,2324.59,2326.55,152698425.0
2014-10-23,2322.32,2329.93,2297.33,2302.42,162636308.0
2014-10-24,2303.08,2314.88,2296.66,2302.28,132225281.0
2014-10-27,2293.57,2293.64,2279.84,2290.44,130261568.0
2014-10-28,2294.01,2338.28,2294.01,2337.87,178590357.0
2014-10-29,2343.72,2381.64,2339.71,2373.03,265588687.0
2014-10-30,2371.89,2397.26,2365.92,2391.08,294645943.0
2014-10-31,2393.18,2423.6,2384.48,2420.18,325763522.0
2014-11-03,2425.23,2436.78,2418.17,2430.03,298821235.0
2014-11-04,2428.27,2435.22,2417.22,2430.68,309013039.0
2014-11-05,2432.17,2434.36,2415.5,2419.25,263606654.0
2014-11-06,2419.62,2426.89,2401.75,2425.86,222005088.0
2014-11-07,2427.9,2454.42,2407.44,2418.17,291172245.0
2014-11-10,2436.63,2474.16,2428.19,2473.67,300628203.0
2014-11-11,2483.65,2508.62,2445.96,2469.67,411904065.0
2014-11-12,2454.6,2494.92,2444.81,2494.48,252933852.0
2014-11-13,2495.0,2507.74,2471.41,2485.61,295037058.0
2014-11-14,2477.97,2481.02,2457.04,2478.82,220607619.0
2014-11-17,2506.86,2508.77,2472.45,2474.01,215687800.0
2014-11-18,2474.18,2477.05,2449.81,2456.37,201062570.0
2014-11-19,2452.15,2461.49,2442.71,2450.99,186235771.0
2014-11-20,2443.28,2458.32,2437.48,2452.66,165495213.0
2014-11-21,2452.64,2488.2,2446.65,2486.79,212239774.0
2014-11-24,2505.53,2546.75,2495.52,2532.88,363485835.0
2014-11-25,2532.0,2568.38,2527.08,2567.6,314315572.0
2014-11-26,2572.65,2605.07,2570.4,2604.34,337127249.0
2014-11-27,2615.37,2631.4,2599.11,2630.49,364075719.0
2014-11-28,2629.63,2683.18,2622.06,2682.83,465880035.0
2014-12-01,2691.73,2720.74,2668.84,2680.16,446791741.0
2014-12-02,2667.82,2777.37,2665.69,2763.54,437733381.0
2014-12-03,2768.68,2824.18,2733.87,2779.52,562120281.0
2014-12-04,2783.47,2900.51,2772.43,2899.46,532687718.0
2014-12-05,2926.57,2978.03,2813.05,2937.65,640500296.0
2014-12-08,2907.81,3041.66,2879.85,3020.26,587570890.0
2014-12-09,2992.49,3091.32,2834.59,2856.27,771998379.0
2014-12-10,2855.94,2946.71,2807.68,2940.01,512886913.0
2014-12-11,2912.35,2965.68,2892.61,2925.74,482632733.0
